# --*-- shell --*--
#
# This file represents a map between shared libraries and packages
# in XBPS. Every shared library installed by a package must be
# listed here and mapped to a binary package.
#
# The third field controls the development package associated with
# the binary package that provides the shared library.
#
##########################################################################
# SONAME			BINPKG			BINPKG-DEVEL
##########################################################################
libcdio_paranoia.so		libcdio			libcdio-devel
libcdio++.so			libcdio			libcdio-devel
libcdio.so.12			libcdio			libcdio-devel
libmpcdec.so			libmpcdec		libmpcdec-devel
libproxy.so			libproxy		libproxy-devel
libFLAC.so			libflac			libflac-devel
libFLAC++.so			libflac			libflac-devel
libmad.so			libmad			libmad-devel
libmatroska.so			libmatroska		libmatroska-devel
libebml.so			libebml			libebml-devel
libdvdread.so			libdvdread		libdvdread-devel
libdvdnav.so			libdvdnav		libdvdnav-devel
libdvbpsi.so			libdvbpsi		libdvbpsi-devel
libdca.so			libdca			libdca-devel
libmpeg2.so			libmpeg2		libmpeg2-devel
libmpeg2convert.so		libmpeg2		libmpeg2-devel
libmng.so			libmng			libmng-devel
libQtAssistantClient.so		qt			qt-devel
libQtXmlPatterns.so		qt			qt-devel
libQtScriptTools.so		qt			qt-devel
libQtCLucene.so			qt			qt-devel
libQtMultimedia.so		qt			qt-devel
libQtGui.so			qt			qt-devel
libQtDBus.so			qt			qt-devel
libQtNetwork.so			qt			qt-devel
libQtOpenGL.so			qt			qt-devel
libQtXml.so			qt			qt-devel
libQtTest.so			qt			qt-devel
libQt3Support.so		qt			qt-devel
libQtSvg.so			qt			qt-devel
libQtScript.so			qt			qt-devel
libQtHelp.so			qt			qt-devel
libphonon.so			qt			qt-devel
libQtCore.so			qt			qt-devel
libQtSql.so			qt			qt-devel
libQtWebKit.so			qt			qt-devel
libQtDesignerComponents.so	qt-designer		qt-devel
libQtDesigner.so		qt-designer		qt-devel
libvlc.so			vlc
libvlccore.so			vlc
libsylpheed-plugin-0.so		sylpheed
libsylph-0.so			sylpheed
libsysfs.so			libsysfs		libsysfs-devel
libsensors.so			libsensors		libsensors-devel
libxfce4sensors.so		xfce4-sensors-plugin
libxpcom_core.so		thunderbird
libgkgfx.so			thunderbird
libgtkxtbin.so			thunderbird
libthebes.so			thunderbird
libssldap60.so			thunderbird
libgfxpsshar.so 		thunderbird
libldap60.so			thunderbird
libprldap60.so			thunderbird
libldif60.so			thunderbird
libcap-ng.so			libcap-ng		libcap-ng-devel
libhandle.so			xfsprogs-libs		xfsprogs-devel
libphysfs.so			physfs			physfs-devel
libSDL_ttf-2.0.so		SDL_ttf			SDL_ttf-devel
libpathplan.so			graphviz
libgvc.so			graphviz
libcgraph.so			graphviz
libxdot.so			graphviz
libgvpr.so			graphviz
libcdt.so			graphviz
libgraph.so			graphviz
libgvplugin_core.so		graphviz
libgvplugin_gdk_pixbuf.so	graphviz
libgvplugin_pango.so		graphviz
libgvplugin_xlib.so		graphviz
libgvplugin_neato_layout.so	graphviz
libgvplugin_dot_layout.so	graphviz
libgvplugin_gd.so		graphviz
libgvplugin_rsvg.so		graphviz
libgvplugin_gtk.so		graphviz
libparted-2.1.so		libparted		libparted-devel
libopenobex.so			libopenobex		libopenobex-devel
libntfs-3g.so.73		ntfs-3g			ntfs-3g-devel
libruby.so.1			ruby			ruby-devel
libfsimage.so.1			xen			xen-devel
libxenctrl.so.3			xen			xen-devel
libxenstore.so.3		xen			xen-devel
libflask.so.1			xen			xen-devel
libblktap.so.3			xen			xen-devel
